#R1	R2	Energy
8.900000095	5.700000048	2.799999952
8.900000095	5.900000051	2.799999952
8.900000095	6.100000054	2.799999952
8.900000095	6.300000057	2.799999952
8.900000095	6.50000006	2.799999952
8.900000095	6.700000063	2.799999952
8.900000095	6.900000066	2.799999952
8.900000095	7.100000069	2.799999952
8.900000095	7.300000072	2.799999952
8.900000095	7.500000075	2.799999952
8.900000095	7.700000077	2.799999952
8.900000095	7.90000008	2.799999952
8.900000095	8.100000083	2.799999952
8.900000095	8.300000086	2.799999952
8.900000095	8.500000089	2.799999952
8.900000095	8.700000092	2.799999952
8.900000095	8.900000095	2.799999952
1.099999979	1.099999979	2.799999952
1.299999982	1.299999982	1.911707716
1.499999985	1.099999979	2.337960478
1.699999988	1.099999979	1.87383774
1.899999991	1.099999979	1.560816857
2.099999994	1.099999979	1.33786041
2.299999997	2.299999997	1.204428784
2.5	2.5	1.665328629
2.700000003	2.700000003	2.129717239
2.900000006	2.900000006	2.570417936
3.100000009	3.100000009	2.799999952
3.300000012	3.300000012	2.799999952
3.500000015	3.500000015	2.799999952
3.700000018	3.700000018	2.799999952
3.900000021	3.900000021	2.799999952
4.100000024	4.100000024	2.799999952
4.300000027	4.300000027	2.799999952
4.50000003	4.50000003	2.799999952
4.700000033	4.700000033	2.799999952
4.900000036	4.900000036	2.799999952
5.100000039	5.100000039	2.799999952
5.300000042	5.300000042	2.799999952
5.500000045	5.500000045	2.799999952
5.700000048	5.700000048	2.799999952
5.900000051	5.900000051	2.799999952
6.100000054	6.100000054	2.799999952
6.300000057	6.300000057	2.799999952
6.50000006	6.50000006	2.799999952
6.700000063	6.700000063	2.799999952
6.900000066	6.900000066	2.799999952
7.100000069	7.100000069	2.799999952
7.300000072	7.300000072	2.799999952
7.500000075	7.500000075	2.799999952
7.700000077	7.700000077	2.799999952
7.90000008	7.90000008	2.799999952
8.100000083	8.100000083	2.799999952
8.300000086	8.300000086	2.799999952
8.500000089	8.500000089	2.799999952
8.700000092	8.700000092	2.799999952
8.900000095	8.900000095	2.799999952



